Episode,Is it Yacht?,Title,Artist,Year,JD Ryznar,Hunter Stair,Steve Huey,Dave Lyons,YACHTSKI,,JAY GRADIENT
YON6,YACHT,What a Fool Believes,The Doobie Brothers,1978,100,100,100,100,100,,100
YON5,YACHT,This is It,Kenny Loggins,1979,97,99,99,98,98.25,,98.25
YON4,YACHT,Nothin' You Can Do About It,Airplay,1980,92,100,100,95,96.75,,96.75
BYR42,YACHT,"Who's Right, Who's Wrong",Kenny Loggins,1979,95,98,96.5,95,96.125,,96.125
YON1,YACHT,Sailing,Christopher Cross,1979,90,100,98,90,94.5,,94.5
YON2,YACHT,Peg,Steely Dan,1977,100,86,92,90,92,,92
YON1,YACHT,Ain't Nothin' For a Heartache,Kerry Chater,1978,85,95,94,90,91,,91
YON2,YACHT,Lovin' and Losin' You,Dwayne Ford,1981,90,96,89,84,89.75,,89.75
YON2,YACHT,Just Can't Win 'Em All,Stevie Woods,1981,90,100,77,90,89.25,,89.25
YON3,YACHT,Oriental Gate,Sanford-Townsend Band,1977,90,88,87,85,87.5,,87.5
YON5,YACHT,Shine,David White Band,1980,80,86,90,85,85.25,,85.25
YON5,YACHT,Steal Away,Robbie Dupree,1980,89,81,85,85,85,https://www.youtube.com/watch?v=f-skfwy10_s,85
YON3,YACHT,Alibis,Segio Mendes and Joe Pizzulo,1984,82,79.5,84,85,82.625,,82.625
BYR45,YACHT,Through the Fire,Chaka Khan,1984,87,81,76,82,81.5,,81.5
YON4,YACHT,Marina Del Rey,Marc Jordan,1978,88,79,83,70,80,https://www.youtube.com/watch?v=ZYHLgZmLa9g,80
YON5,YACHT,Breezin',Geroge Benson,1976,90,64,79,77,77.5,,77.5
YON3,YACHT,Get It Up For Love,Ned Doheny,1976,76,81,72,60,72.25,http://4.bp.blogspot.com/_6SAg7HKz6Yg/TTbgcD0bQVI/AAAAAAAAAnM/MAlrSYf8MHE/s1600/Picture+4.png,72.25
BYR44,YACHT,Tell Me What You Dream,Timothy B. Schmit,1984,77,69,59,82,71.75,,71.75
BYR38,YACHT,Love is a Mystery,Robbie Dupree,1980,60,78,77,70,71.25,,71.25
BYR46,YACHT,Steal Away,Jim Photoglo,1980,55,70,77,60,65.5,,65.5
YON6,YACHT,Love Trip,Takako Mamiya,1982,61,64,70,64,64.75,,64.75
BYR43,YACHT,Now That Your Joystick's Broke,Michael Franks,1983,60,71,60,55,61.5,,61.5
YON5,YACHT,Guilty,Barbra Streisand and Barry Gibb,1980,65,60,64,52,60.25,,60.25
YON3,YACHT,Lovely Day,Bill Withers,1977,75,48,44,70,59.25,,59.25
YON4,YACHT,Catalina Breeze,The Blue Jean Committee,2015,65,20,75,75,58.75,https://www.youtube.com/watch?v=PfrHCNo2I3M,58.75
YON6,YACHT,Baby Come Back,Player,1998,65,59,62,48,58.5,,58.5
BYR49,YACHT,Part Time Love,Lary Wilcox,1980,70,64,39,50,55.75,,55.75
YON6,YACHT,Cool Night,Paul Davis,1981,48,61,53,54,54,,54
YON6,YACHT,Reminiscing ,Little River Band,1978,48,61,58,40,51.75,,51.75
BYR35,YACHT,Heartlight,Neil Diamond,1982,60,62,38,45,51.25,,51.25
YON5,YACHT,You Can Feel It,Young Gun Silver Fox,2016,55,51,46,48,50,,50
YON6,NYACHT,Maureen,Sade,1985,51,52,48,48,49.75,,49.75
YON5,NYACHT,Don't Turn Me Away,10CC,1981,55,68,41,35,49.75,https://www.youtube.com/watch?v=JDgXVSI2iOE,49.75
YON6,NYACHT,On and On,Stephen Bishop,1976,49,52,39,40,45,,45
YON5,NYACHT,Feels So Good,Chuck Mangione,1977,37,43,40,58,44.5,,44.5
